,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
0,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,500,raw,0.2255341844254558,0.3084204694123719,0.4561650736963104,0.5269438926753253,0.2367659338038737
1,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,500,raw,0.4331640735979874,0.4530086261841561,0.8661952223134954,0.9303109946038108,0.4332039659834924
2,Signac,H3K27me3,scChIP_Marsolier_2022,500,raw,0.0483407779765311,0.0460200615743269,0.2550657221162937,0.2330427828384134,0.0399124128956655
3,SnapATAC,H3K27me3,scChIP_Marsolier_2022,500,raw,0.466676911060756,0.5306572333831236,0.0001220740380338,0.0001686971726375,0.3865623395400952
4,cisTopic,H3K27me3,scChIP_Marsolier_2022,500,raw,0.3390921544612352,0.3412942374571201,0.2599200275689585,0.2259286739769008,0.3437402976809361
5,PeakVI,H3K27me3,scChIP_Marsolier_2022,500,raw,0.0341199762029238,0.0218364939226025,0.0450393764204679,0.0141702198826613,0.2756798307853494
6,SCALE,H3K27me3,scChIP_Marsolier_2022,500,raw,0.0199155093575551,-0.0030898555018992,-6.911256883387536e-05,-0.0005794450432101,0.2647695219463522
7,NMF,H3K27me3,scChIP_Marsolier_2022,500,raw,0.4049427247439486,0.4434617761894424,0.89084435419222,0.9450706510776832,0.2749217889349205
8,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,500,raw,0.2018599857972875,0.2904800761853058,0.3112310965384438,0.2854352014971617,0.3406818403072119
9,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.1376983740337293,0.2043397932515162,0.2898613794087444,0.2773593042697738,0.2018586993829603
10,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.4768104610873316,0.5187632576791474,0.8603758808885061,0.9200302174082544,0.4307815792975643
11,Signac,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.3123470650307564,0.3086114688991111,0.2267632924208878,0.2226011827490934,0.0466265003294205
12,SnapATAC,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.0698110766862985,0.0940217886742761,0.0111237462678,-0.014568872141397,0.2911577524870951
13,cisTopic,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.3197666024563789,0.3195196669826003,0.2719161558442269,0.2530849075854774,0.1981894466504708
14,PeakVI,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.0401215858742718,0.0469120095497328,0.1920753673448493,0.1519647322941928,0.3132477382053081
15,SCALE,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.0335374390552065,0.0011879973559384,0.4842594410226148,0.5400235872967424,0.2683017326913238
16,NMF,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.0006312513785121,-0.0072258667749351,0.3404293229170357,0.3302219677759906,0.2234873509753901
17,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.8160291692547866,0.897230925371221,0.2931367921791771,0.2659654273762568,0.3791321362874938
18,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,10,raw,0.6049373300945347,0.7029357790401983,0.8504101480167591,0.9203688086802408,0.3091342867145525
19,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,10,raw,0.5688045603565294,0.6738421630619705,0.6162690348098717,0.7269010579814603,0.2801909074531001
20,Signac,H3K27me3,scChIP_Marsolier_2022,10,raw,0.0019010744028427,-0.008276012146173,0.1230792770878917,0.1921901006006894,0.0194838254853195
21,SnapATAC,H3K27me3,scChIP_Marsolier_2022,10,raw,0.5699943529231223,0.6674048509565796,0.6417548977755907,0.7411481261790543,0.5111417515436524
22,cisTopic,H3K27me3,scChIP_Marsolier_2022,10,raw,0.5616957989130925,0.6592552479947555,0.6682193568706658,0.7773832917402931,0.3709604074424586
23,PeakVI,H3K27me3,scChIP_Marsolier_2022,10,raw,0.6043825178436842,0.7171272118071269,0.5151288300624589,0.6417453651018062,0.2501486246763163
24,SCALE,H3K27me3,scChIP_Marsolier_2022,10,raw,0.0004103374986343,-0.0022293578650575,0.0311165990060624,0.0534102108615357,0.2968566305130923
25,NMF,H3K27me3,scChIP_Marsolier_2022,10,raw,0.2052896328483645,0.2726711369020607,0.0001153600946383,0.0001594002055852,0.2437430314255213
26,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,10,raw,0.2719009417239423,0.3850321808801295,0.4541358248175456,0.5385230326542281,0.1876285339187007
27,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.079958934592468,0.134521798252747,0.2106483793822485,0.2262956003809018,0.1678725717563158
28,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.5319330737125623,0.5967892551309596,0.3635919845497864,0.4257696443981807,0.4101704914998927
29,Signac,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.0350627253954004,0.0213100186988198,0.261481029880327,0.2608975932702471,0.0172790246343754
30,SnapATAC,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.0697988770022782,0.0900761942625044,0.011973032916621,0.0010053303448849,0.2600430942205946
31,PeakVI,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.5625957564036022,0.6605974585547073,0.7564180875024221,0.8406208479266136,0.2333096784910413
32,NMF,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.2962724779065626,0.3351257655622092,0.1535528376330328,0.1133021715967244,0.2735880992265174
33,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.8011150720794552,0.8672625064294683,0.8696003641694561,0.9284118249952324,0.3693128253949508
34,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,50,raw,0.5379522970170784,0.6384548445069059,0.866244161051218,0.930718668981888,0.3558418787968389
35,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,50,raw,0.5428990314417107,0.6227855352719499,0.9104078056114918,0.9573016464883792,0.4176314175294355
36,Signac,H3K27me3,scChIP_Marsolier_2022,50,raw,0.0182795780395594,-0.0048735180275248,0.2510030288042165,0.2933531881742792,0.0157934950318993
37,SnapATAC,H3K27me3,scChIP_Marsolier_2022,50,raw,0.5422193729966761,0.6256014698329606,0.4914415899235462,0.5448273766091234,0.5845142138296355
38,cisTopic,H3K27me3,scChIP_Marsolier_2022,50,raw,0.545090091454443,0.6223640106269946,0.3654630551272555,0.4001626939160714,0.4303477678973045
39,PeakVI,H3K27me3,scChIP_Marsolier_2022,50,raw,0.7637263904648595,0.8539622974081913,0.8319757289811324,0.9067529520033684,0.3408181846942045
40,SCALE,H3K27me3,scChIP_Marsolier_2022,50,raw,0.0242447665381687,0.0076381226985484,0.0121686127171985,0.0270325179559152,0.2740934531801165
41,NMF,H3K27me3,scChIP_Marsolier_2022,50,raw,0.3016570180831365,0.276400519748854,0.000437015856391,0.0003268231404646,0.2702645975982871
42,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,50,raw,0.4636666358502504,0.5316272795858878,0.4273057578056036,0.4518463816835872,0.2753378924690782
43,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,20,raw,0.597233500622109,0.6901805970502696,0.9090425826669106,0.9568443540141708,0.3590733805309563
44,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,20,raw,0.5476336593510416,0.6379586835278592,0.8447822510807571,0.9165652536372632,0.3406089363140336
45,Signac,H3K27me3,scChIP_Marsolier_2022,20,raw,0.0081754091660668,-0.0113529534456788,0.1047393186013249,0.1046426195782438,0.0172671271728026
46,SnapATAC,H3K27me3,scChIP_Marsolier_2022,20,raw,0.5537695608455058,0.6426335630162577,0.7649972299661517,0.8466130573816066,0.5616298279219074
47,cisTopic,H3K27me3,scChIP_Marsolier_2022,20,raw,0.547888428429958,0.6348052266371783,0.3555260256107052,0.4072269579293593,0.3290022694483143
48,PeakVI,H3K27me3,scChIP_Marsolier_2022,20,raw,0.5295183725482636,0.6212640301948481,0.3972072007136865,0.4482277169334704,0.3268059313588825
49,SCALE,H3K27me3,scChIP_Marsolier_2022,20,raw,0.5086384775939463,0.5901929945539028,0.0010476127740274,0.0087617833526152,0.3426335887440232
50,NMF,H3K27me3,scChIP_Marsolier_2022,20,raw,0.1972977942960204,0.2857605811145617,0.0001169054858036,0.0001615305726454,0.2450139864145903
51,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,20,raw,0.7815148471035381,0.870514967445672,0.4032004410109522,0.437419640607455,0.2213541077260904
52,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,100,raw,0.3093911042617768,0.4270408561741838,0.5634741378759297,0.6480326064813537,0.2881920611227412
53,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,100,raw,0.536137775422735,0.6074314405267243,0.915026984473975,0.9597136025159672,0.4444277630189608
