,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
0,NMF,11,0.001,0.0108342906977719,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
1,TFIDF-NMF,11,0.001,0.017601529546922,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
2,NMF,33,0.003,0.0239830273959966,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
3,TFIDF-NMF,33,0.003,0.0397760466019851,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
4,NMF,54,0.005,0.0336069858254158,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
5,TFIDF-NMF,54,0.005,0.0559757709928358,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
6,NMF,108,0.01,0.0523868578476087,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
7,TFIDF-NMF,108,0.01,0.0886936424479086,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
8,NMF,325,0.03,0.1013781016511392,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
9,TFIDF-NMF,325,0.03,0.165962549580297,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
10,NMF,542,0.05,0.1360253935534466,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
11,TFIDF-NMF,542,0.05,0.2122050327596717,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
12,NMF,1084,0.1,0.1987427461213086,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
13,TFIDF-NMF,1084,0.1,0.2780215261796562,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100
14,NMF,11,0.001,0.0102389078498293,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
15,TFIDF-NMF,11,0.001,0.0148007144594175,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
16,NMF,33,0.003,0.0232674498886103,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
17,TFIDF-NMF,33,0.003,0.0332491970717226,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
18,NMF,54,0.005,0.0335164516051888,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
19,TFIDF-NMF,54,0.005,0.0471478304242809,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
20,NMF,108,0.01,0.0521015896442517,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
21,TFIDF-NMF,108,0.01,0.074861550970766,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
22,NMF,325,0.03,0.1005941830515209,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
23,TFIDF-NMF,325,0.03,0.1420300426443771,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
24,NMF,542,0.05,0.1346926438547662,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
25,TFIDF-NMF,542,0.05,0.1828266751443457,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
26,NMF,1084,0.1,0.1964641713108395,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
27,TFIDF-NMF,1084,0.1,0.2467901512333083,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100
28,NMF,11,0.001,0.0034968260224232,H3K9me3,PairedTag_Zhu_2021,10,filtered_cell_q_10_100
