,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
0,Chromscape_LSI,3,0.001,0.0096666666666666,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_3000
1,Chromscape_LSI,9,0.003,0.027037037037037,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_3000
2,Chromscape_LSI,15,0.005,0.0405333333333333,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_3000
3,Chromscape_LSI,30,0.01,0.0695222222222222,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_3000
4,Chromscape_LSI,90,0.03,0.1388814814814815,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_3000
5,Chromscape_LSI,150,0.05,0.1804777777777777,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_3000
6,Chromscape_LSI,300,0.1,0.2444488888888888,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_3000
7,Chromscape_LSI,3,0.001,0.0092222222222222,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_3000
8,Chromscape_LSI,9,0.003,0.0224444444444444,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_3000
9,Chromscape_LSI,15,0.005,0.0324666666666666,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_3000
10,Chromscape_LSI,30,0.01,0.0526555555555555,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_3000
11,Chromscape_LSI,90,0.03,0.1070222222222222,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_3000
12,Chromscape_LSI,150,0.05,0.1424688888888889,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_3000
13,Chromscape_LSI,300,0.1,0.2012688888888888,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_3000
14,Chromscape_LSI,3,0.001,0.0028888888888888,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_3000
15,Chromscape_LSI,9,0.003,0.0097777777777777,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_3000
16,Chromscape_LSI,15,0.005,0.0144444444444444,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_3000
17,Chromscape_LSI,30,0.01,0.0264111111111111,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_3000
18,Chromscape_LSI,90,0.03,0.0656222222222222,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_3000
19,Chromscape_LSI,150,0.05,0.0981488888888888,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_3000
20,Chromscape_LSI,300,0.1,0.1635888888888889,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_3000
21,Chromscape_LSI,3,0.001,0.0106666666666666,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_3000
22,Chromscape_LSI,9,0.003,0.0241851851851851,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_3000
23,Chromscape_LSI,15,0.005,0.0370888888888888,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_3000
24,Chromscape_LSI,30,0.01,0.0622222222222222,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_3000
25,Chromscape_LSI,90,0.03,0.1255407407407407,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_3000
26,Chromscape_LSI,150,0.05,0.1669488888888889,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_3000
27,Chromscape_LSI,300,0.1,0.2358877777777777,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_3000
28,Chromscape_LSI,3,0.001,0.0055555555555555,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_3000
29,Chromscape_LSI,9,0.003,0.0155185185185185,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_3000
30,Chromscape_LSI,15,0.005,0.0233111111111111,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_3000
31,Chromscape_LSI,30,0.01,0.0384333333333333,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_3000
32,Chromscape_LSI,90,0.03,0.0858666666666666,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_3000
33,Chromscape_LSI,150,0.05,0.1220088888888888,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_3000
34,Chromscape_LSI,300,0.1,0.1877633333333333,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_3000
35,Chromscape_LSI,3,0.001,0.0116666666666666,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_3000
36,Chromscape_LSI,9,0.003,0.0325925925925925,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_3000
37,Chromscape_LSI,15,0.005,0.0492666666666666,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_3000
38,Chromscape_LSI,30,0.01,0.0816222222222222,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_3000
39,Chromscape_LSI,90,0.03,0.156874074074074,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_3000
40,Chromscape_LSI,150,0.05,0.2023422222222222,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_3000
41,Chromscape_LSI,300,0.1,0.2705077777777778,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_3000
42,Chromscape_LSI,3,0.001,0.0123333333333333,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
43,Chromscape_LSI,9,0.003,0.0322592592592592,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
44,Chromscape_LSI,15,0.005,0.0473111111111111,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
45,Chromscape_LSI,30,0.01,0.0773555555555555,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
46,Chromscape_LSI,90,0.03,0.1520777777777777,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
47,Chromscape_LSI,150,0.05,0.1964644444444444,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
48,Chromscape_LSI,300,0.1,0.26227,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
