,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
0,Chromscape_LSI,H3K9me3,PairedTag_Zhu_2021,500,raw,0.3338147335010293,0.1639161564120532,0.3175358693106536,0.1551025397101895,-0.0505443857035961
1,Chromscape_PCA,H3K9me3,PairedTag_Zhu_2021,500,raw,0.1349054575904797,0.0470005262580003,0.1156840605795184,0.0384775575928673,-0.0973190437166684
2,Signac,H3K9me3,PairedTag_Zhu_2021,500,raw,0.353637803840756,0.2104200053633379,0.2323050041606759,0.1087449646329468,-0.0039825553486048
3,SnapATAC,H3K9me3,PairedTag_Zhu_2021,500,raw,0.2194916753989573,0.0782129743928799,0.2180147521738336,0.0744077496238093,-0.1088468353348646
4,cisTopic,H3K9me3,PairedTag_Zhu_2021,500,raw,0.2204192087436677,0.0723654247365048,0.1978652445397502,0.0590508160964307,-0.0582029995362739
5,PeakVI,H3K9me3,PairedTag_Zhu_2021,500,raw,0.2117604500827557,0.0743557643588348,0.1985839848008669,0.0737612193133579,-0.1061667793102019
6,SCALE,H3K9me3,PairedTag_Zhu_2021,500,raw,0.2153145589680309,0.0759516131570571,0.1877278308671375,0.0709852334885624,-0.1068113981666452
7,Chromscape_LSI,H3K9me3,PairedTag_Zhu_2021,1000,raw,0.2893371056295774,0.1341963832387742,0.2701249420051401,0.1301247455786697,-0.0481319445150833
8,Chromscape_PCA,H3K9me3,PairedTag_Zhu_2021,1000,raw,0.1287978498307977,0.0460123423123579,0.1053963992076523,0.0354620349697886,-0.0876482247508893
9,Signac,H3K9me3,PairedTag_Zhu_2021,1000,raw,0.3084002721194612,0.1956038010541493,0.1905949578602576,0.0766138617736271,-0.0049901142137403
10,SnapATAC,H3K9me3,PairedTag_Zhu_2021,1000,raw,0.2098611442742233,0.0659063849384569,0.2034821768172456,0.0754473848240723,-0.1080293069974638
