,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
0,Chromscape_LSI,8,0.001,0.0046513728323699,H3K9me3,scCutTagPro_Zhang_2021,500,raw
1,Chromscape_PCA,8,0.001,0.0022730009633911,H3K9me3,scCutTagPro_Zhang_2021,500,raw
2,Signac,8,0.001,0.002559007707129,H3K9me3,scCutTagPro_Zhang_2021,500,raw
3,SnapATAC,8,0.001,0.0046212668593448,H3K9me3,scCutTagPro_Zhang_2021,500,raw
4,cisTopic,8,0.001,0.0038084055876685,H3K9me3,scCutTagPro_Zhang_2021,500,raw
5,NMF,8,0.001,0.0037481936416184,H3K9me3,scCutTagPro_Zhang_2021,500,raw
6,TFIDF-NMF,8,0.001,0.0048771676300578,H3K9me3,scCutTagPro_Zhang_2021,500,raw
7,Chromscape_LSI,25,0.003,0.0122157996146435,H3K9me3,scCutTagPro_Zhang_2021,500,raw
8,Chromscape_PCA,25,0.003,0.0059682080924855,H3K9me3,scCutTagPro_Zhang_2021,500,raw
9,Signac,25,0.003,0.0064306358381502,H3K9me3,scCutTagPro_Zhang_2021,500,raw
10,SnapATAC,25,0.003,0.0119605009633911,H3K9me3,scCutTagPro_Zhang_2021,500,raw
11,cisTopic,25,0.003,0.0101926782273603,H3K9me3,scCutTagPro_Zhang_2021,500,raw
12,NMF,25,0.003,0.0109441233140655,H3K9me3,scCutTagPro_Zhang_2021,500,raw
13,TFIDF-NMF,25,0.003,0.0123699421965317,H3K9me3,scCutTagPro_Zhang_2021,500,raw
14,Chromscape_LSI,42,0.005,0.0193165657399761,H3K9me3,scCutTagPro_Zhang_2021,500,raw
15,Chromscape_PCA,42,0.005,0.0096453803101201,H3K9me3,scCutTagPro_Zhang_2021,500,raw
16,Signac,42,0.005,0.0099349710982658,H3K9me3,scCutTagPro_Zhang_2021,500,raw
17,SnapATAC,42,0.005,0.018697242866318,H3K9me3,scCutTagPro_Zhang_2021,500,raw
