,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
0,Chromscape_LSI,8,0.001,0.0046513728323699,H3K9me3,scCutTagPro_Zhang_2021,500,raw
1,Chromscape_PCA,8,0.001,0.0022730009633911,H3K9me3,scCutTagPro_Zhang_2021,500,raw
2,Signac,8,0.001,0.002559007707129,H3K9me3,scCutTagPro_Zhang_2021,500,raw
3,SnapATAC,8,0.001,0.0046212668593448,H3K9me3,scCutTagPro_Zhang_2021,500,raw
4,cisTopic,8,0.001,0.0038084055876685,H3K9me3,scCutTagPro_Zhang_2021,500,raw
5,Chromscape_LSI,25,0.003,0.0122157996146435,H3K9me3,scCutTagPro_Zhang_2021,500,raw
6,Chromscape_PCA,25,0.003,0.0059682080924855,H3K9me3,scCutTagPro_Zhang_2021,500,raw
7,Signac,25,0.003,0.0064306358381502,H3K9me3,scCutTagPro_Zhang_2021,500,raw
8,SnapATAC,25,0.003,0.0119605009633911,H3K9me3,scCutTagPro_Zhang_2021,500,raw
9,cisTopic,25,0.003,0.0101926782273603,H3K9me3,scCutTagPro_Zhang_2021,500,raw
10,Chromscape_LSI,42,0.005,0.0193165657399761,H3K9me3,scCutTagPro_Zhang_2021,500,raw
11,Chromscape_PCA,42,0.005,0.0096453803101201,H3K9me3,scCutTagPro_Zhang_2021,500,raw
12,Signac,42,0.005,0.0099349710982658,H3K9me3,scCutTagPro_Zhang_2021,500,raw
13,SnapATAC,42,0.005,0.018697242866318,H3K9me3,scCutTagPro_Zhang_2021,500,raw
14,cisTopic,42,0.005,0.0158930865216992,H3K9me3,scCutTagPro_Zhang_2021,500,raw
15,Chromscape_LSI,83,0.01,0.0339537340111892,H3K9me3,scCutTagPro_Zhang_2021,500,raw
16,Chromscape_PCA,83,0.01,0.017928651020266,H3K9me3,scCutTagPro_Zhang_2021,500,raw
17,Signac,83,0.01,0.0181854585973953,H3K9me3,scCutTagPro_Zhang_2021,500,raw
