,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
0,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,500,raw,0.2737941979430109,0.2172439988255825,0.2606429500968826,0.1845259465546586,-0.0605262825124535
1,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,500,raw,0.0464378780605255,0.0509180441695454,0.018937636623247,0.0117159622361564,-0.0817773401148882
2,Signac,H3K9me3,scCutTagPro_Zhang_2021,500,raw,0.2178010628314293,0.163374891074179,0.0479444523459555,-0.008965545648973,-0.0457329889761736
3,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,500,raw,0.2897019595331503,0.2061207184427765,0.2757157344508659,0.2167785803467439,-0.0813393605535697
4,cisTopic,H3K9me3,scCutTagPro_Zhang_2021,500,raw,0.2916868449749972,0.1900542119255644,0.2693732098342857,0.1658610060230294,-0.0431944518100989
5,NMF,H3K9me3,scCutTagPro_Zhang_2021,500,raw,0.0689135664179434,-0.0093575219810938,0.0973281678635528,0.0219322730382782,-0.1152253420016575
6,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,500,raw,0.2737158053502261,0.240591549388547,0.2785321196361308,0.2809965239477922,-0.0502463541516922
7,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw,0.0006847458297302,0.0001616279744178,0.0006847458297302,0.0001616279744178,-0.2191728227838432
8,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw,0.0744828743634503,-0.0180030843575627,0.0923653616930352,-0.00802813134144,-0.169089604710195
9,Signac,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw,0.0007514331994645,0.0002380782447523,0.0011786382549995,-9.160517322000772e-05,-0.2370906078725096
10,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw,0.0794680020728352,-0.0193959828890209,0.0849278624483973,-0.0154983019934557,-0.1864767265808213
11,NMF,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw,0.0263417525588765,-0.0040863992814142,0.0167875242310156,0.0010965316751389,-0.2223187984296133
12,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw,0.2234438850317479,0.1832329262276947,0.212470152623149,0.1742929544405601,-0.102973777210957
13,Signac,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw,-8.173424047779997e-05,0.0002178399431813,0.0001996303936072,0.0002396056954304,-0.4159382015705055
14,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw,6.628093618362733e-05,0.0001098174698873,6.628093618362733e-05,0.0001098174698873,-0.3465692171137118
15,NMF,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw,0.0032584287163992,-0.0022163820014864,0.0032584287163992,-0.0022163820014864,-0.6904700017170594
16,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw,0.0032017813800573,-0.0021257979624301,0.0032017813800573,-0.0021257979624301,-0.6593097629621778
17,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,1000,raw,0.2619945849002448,0.1985664747867796,0.2447090476366331,0.1543426716866037,-0.0566747015398316
18,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,1000,raw,0.0960164396540735,0.0816581573459846,0.0622847528006551,0.0524014422881552,-0.0532867606304261
19,Signac,H3K9me3,scCutTagPro_Zhang_2021,1000,raw,0.1820378067748777,0.1206589386119095,0.0487809450220948,0.0225787591215417,-0.0397860807738019
20,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,1000,raw,0.2778711158580282,0.1886239187528989,0.2702383420602018,0.2164704430573058,-0.0831749200217724
21,cisTopic,H3K9me3,scCutTagPro_Zhang_2021,1000,raw,0.2767399459092162,0.1820303571678716,0.2478201377707199,0.1878763374816978,-0.0310680891453412
22,NMF,H3K9me3,scCutTagPro_Zhang_2021,1000,raw,0.1334980565745294,0.0689791956671775,0.1277810890620353,0.0337060456862673,-0.1131149936085564
23,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,1000,raw,0.2579564337995582,0.2391178134939308,0.2510950606314404,0.1913542784309803,-0.0467173356790033
24,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,10,raw,0.0002768389881829,-2.983268312871036e-05,0.0002768389881829,-2.983268312871036e-05,-0.1988019796059789
25,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,10,raw,0.2858285235587141,0.2147600368883353,0.232633887748282,0.1519999287180644,-0.0699744127455535
26,Signac,H3K9me3,scCutTagPro_Zhang_2021,10,raw,0.0007057674240135,0.0001819501981776,0.0608874681106109,-0.0182191093445313,-0.2222460737953996
27,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,10,raw,0.2699888257756502,0.1651343349512707,0.2075702605674361,0.109873772286831,-0.1225145436681789
28,cisTopic,H3K9me3,scCutTagPro_Zhang_2021,10,raw,0.2614746880839441,0.1509067765665761,0.2205485881127269,0.1256039788101656,-0.04601607227384
29,NMF,H3K9me3,scCutTagPro_Zhang_2021,10,raw,0.0371105071216155,-0.0139311880866965,0.0184698094932876,-0.0075968387533856,-0.2338125574353558
30,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,10,raw,0.230285750097895,0.1634519790259826,0.1075447640471001,0.0216926419604208,-0.0705686687979621
