,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette,cosine_ami,cosine_ari
0,NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100,0.0875812154469614,0.0180506402527208,0.098694842923167,0.0173635374708611,-0.2588563196333695,,
1,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100,0.3381289952081197,0.1721224744601075,0.323439535429205,0.162583392948735,-0.0350330319387886,,
2,NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100,0.107510255310453,0.0207313061341701,0.0641753020766815,0.0041264289934452,-0.2727693652547653,,
3,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100,0.2851265008225774,0.129827288097399,0.2636702529774959,0.1162023088263114,-0.0413890634232812,,
4,NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_cell_q_10_100,0.0457853094149424,0.0103433042071232,0.0413728305403911,0.0058108506233528,-0.372860562944823,,
5,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_cell_q_10_100,0.371972985986008,0.1835441632152223,0.3617631461835868,0.1686033316366433,-0.0291893049005187,,
6,NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100,0.0876453878406093,0.0255004537858202,0.117570237624969,0.0432069278860837,-0.2928970405816078,,
7,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100,0.401371803650468,0.1986546091818625,0.4119992743148918,0.2227574702285119,-0.0130203561144537,,
8,NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100,0.0620526892158907,0.0144607629047436,0.0597006369091505,0.0170134298350325,-0.3463734664276262,,
9,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100,0.4002611633404618,0.2119955171109502,0.3852955252968476,0.2189144499236333,-0.0195743862728418,,
10,NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100,0.1152148135416214,0.0275258020553381,0.0953516615504917,0.0235000749851927,-0.288121051274883,,
11,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100,0.4095290142730589,0.2303442919187975,0.4045006389630919,0.2425375354677209,-0.0175649731756469,,
12,NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100,0.1440293492449203,0.0434060200222403,0.1312724818763034,0.0322228283007334,-0.2390013888818523,,
13,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100,0.3787868334994075,0.1921810490412236,0.3429182060297389,0.1587522257433435,-0.0248680832804658,,
14,NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100,0.1639324389154829,0.0647630758021969,0.1236105351029453,0.0372305532141669,-0.2505421888660466,,
15,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100,0.3882344197482644,0.2185669244040778,0.3771594590844161,0.2093068080955244,-0.0222815383700856,,
16,NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100,0.0762310378231229,0.0186993386636676,0.0621306583624277,0.0054558549103888,-0.3155573712758866,,
17,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100,0.3809102621523836,0.198067797576106,0.3581538512061459,0.1574790802117243,-0.0178573919426232,,
18,SCALE,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75,0.2109514307397191,0.0762214352555659,0.1926731168590126,0.0656338472441492,-0.1100219334924316,,
19,NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75,0.1255719589945772,0.0261635671585249,0.1044378867693246,0.0185277641922135,-0.2389371761811154,,
20,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75,0.3118840118844477,0.1435259894598192,0.3001107944391582,0.1224673377650237,-0.0410412105360715,,
21,SCALE,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75,0.1717221640194984,0.0583738286268435,0.1568080319126721,0.0486707363390367,-0.1240181810864322,,
22,NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75,0.101708460187147,0.0273146116639367,0.0906293778046701,0.0207841061422021,-0.245394357489863,,
23,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75,0.2678687889326452,0.1170968282906879,0.2524198664354874,0.1121360648196581,-0.0367576848860962,,
24,SCALE,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75,0.2059231213430776,0.0732089442625021,0.1869763778882048,0.0646988333329002,-0.0839017924947793,,
25,NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75,0.0594080629341834,0.0180091034881341,0.0567834893001725,0.0164929980337833,-0.3654219260001204,,
26,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75,0.3726319445560855,0.1716414464307115,0.3686123018188159,0.1709439150758801,-0.0382641555714827,,
27,SCALE,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75,0.202469767469453,0.0706267754611883,0.1931487622619541,0.0596671850765394,-0.1073244183517566,,
28,NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75,0.1268702299051821,0.0311948446759862,0.1367310341828014,0.0479978233913263,-0.2616015293304255,,
29,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75,0.3808135403972827,0.1791065225032007,0.3783779565072844,0.2092410274951611,-0.0276610327807752,,
